Bank account
"€352829,86"
"€714791,52"
"€579461,25"
"€724919,84"
"€31700,68"
"€244696,47"
"€653,15"
"€303817,55"
"€113832,85"
"€880239,92"
"€733645,05"
"€942153,93"
"€485681,73"
"€280065,88"
"€184203,78"
"€810539,49"
"€622667,06"
"€45644,70"
"€680453,34"
"€763806,55"
"€715124,76"
"€396967,58"
"€289086,98"
"€677784,58"
"€567558,08"
"€438803,09"
"€227588,04"
"€492709,15"
"€729304,76"
"€90565,61"
"€973958,75"
"€246020,49"
"€580622,82"
"€184908,12"
"€3580,08"
"€584666,34"
"€957299,41"
"€721906,93"
"€65227,33"
"€651083,46"
"€765869,30"
"€393369,16"
"€823308,49"
"€217324,89"
"€396738,72"
"€716305,54"
"€768510,91"
"€795449,11"
"€788203,25"
"€553944,53"
"€325274,02"
"€3937,71"
"€231087,90"
"€445245,61"
"€725174,33"
"€820198,94"
"€640047,02"
"€268471,75"
"€190247,91"
"€981694,20"
"€152565,10"
"€341666,78"
"€112008,13"
"€648024,10"
"€264896,08"
"€16783,05"
"€463414,34"
"€191335,82"
"€312230,49"
"€748275,10"
"€299187,73"
"€441380,19"
"€571981,86"
"€79646,15"
"€868337,93"
"€951633,50"
"€984337,70"
"€874160,50"
"€75536,09"
"€655965,68"
"€151701,80"
"€761039,03"
"€567538,66"
"€954821,81"
"€245480,64"
"€108535,34"
"€46778,08"
"€400804,26"
"€93358,03"
"€521499,52"
"€586798,68"
"€389325,87"
"€550772,50"
"€65938,55"
"€749908,40"
"€72921,08"
"€985185,87"
"€789036,41"
"€677617,96"
"€541342,27"
"€321184,82"
"€514514,61"
"€536509,14"
"€515556,54"
"€796043,14"
"€479278,24"
"€561061,24"
"€8150,00"
"€425493,19"
"€560944,91"
"€884978,15"
"€765385,58"
"€197768,73"
"€824938,26"
"€419649,57"
"€177375,36"
"€154496,31"
"€83947,78"
"€825414,13"
"€896199,28"
"€486567,61"
"€715139,12"
"€767438,82"
"€416852,32"
"€450571,13"
"€769093,23"
"€205594,53"
"€359224,19"
"€667390,75"
"€680837,95"
"€85668,10"
